added_route_id,trip_id
76,55914425
62,55914426
76,55914426
62,55914431
76,55914431
62,55914436
76,55914436
62,55914412
76,55914412
62,55914440
76,55914440
62,55917671
76,55917671
62,55917673
76,55917673
62,55917675
76,55917675
62,55917677
76,55917677
62,55917679
76,55917679
62,55917681
76,55917681
62,55917684
76,55917684
62,55917686
76,55917686
62,55917688
76,55917688
62,55917690
76,55917690
62,55917692
76,55917692
62,55917694
76,55917694
62,57384499
76,57384499
62,57384509
76,57384509
62,57384512
76,57384512
62,57384530
76,57384530
62,57384531
76,57384531
62,57384532
76,57384532
62,57384537
76,57384537
62,57384541
76,57384541
62,57384521
76,57384521
62,57384545
76,57384545
62,57232267
76,57232267
62,57232269
76,57232269
62,57232271
76,57232271
62,57232273
76,57232273
62,57232275
76,57232275
62,57232277
76,57232277
62,57232280
76,57232280
62,57232282
76,57232282
62,57232284
76,57232284
62,57232286
76,57232286
62,57232288
76,57232288
62,57232290
76,57232290
62,55914384
76,55914384
62,55914404
76,55914404
62,55914430
76,55914430
62,55914434
76,55914434
62,55914441
76,55914441
62,55914397
76,55914397
62,55914400
76,55914400
62,55914429
76,55914429
62,55914432
76,55914432
62,55914439
76,55914439
62,55917672
76,55917672
62,55917674
76,55917674
62,55917676
76,55917676
62,55917678
76,55917678
62,55917680
76,55917680
62,55917682
76,55917682
62,55917683
76,55917683
62,55917685
76,55917685
62,55917687
76,55917687
62,55917689
76,55917689
62,55917691
76,55917691
62,55917693
76,55917693
62,57384497
76,57384497
62,57384514
76,57384514
62,57384536
76,57384536
62,57384540
76,57384540
62,57384546
76,57384546
62,57384508
76,57384508
62,57384511
76,57384511
62,57384535
76,57384535
62,57384538
76,57384538
62,57384544
76,57384544
62,57232268
76,57232268
62,57232270
76,57232270
62,57232272
76,57232272
62,57232274
76,57232274
62,57232276
76,57232276
62,57232278
76,57232278
62,57232279
76,57232279
62,57232281
76,57232281
62,57232283
76,57232283
62,57232285
76,57232285
62,57232287
76,57232287
62,57232289
76,57232289
741,56105530
742,56105530
743,56105530
741,56105538
742,56105538
743,56105538
741,56105539
742,56105539
743,56105539
741,56105565
742,56105565
743,56105565
741,56105577
742,56105577
743,56105577
741,56105593
742,56105593
743,56105593
741,56105635
742,56105635
743,56105635
741,56105667
742,56105667
743,56105667
741,56105673
742,56105673
743,56105673
741,56105728
742,56105728
743,56105728
741,56106430
742,56106430
743,56106430
741,56106431
742,56106431
743,56106431
741,56106432
742,56106432
743,56106432
741,56106433
742,56106433
743,56106433
741,56106434
742,56106434
743,56106434
741,56106435
742,56106435
743,56106435
741,56106440
742,56106440
743,56106440
741,56106680
742,56106680
743,56106680
741,56106681
742,56106681
743,56106681
741,56106684
742,56106684
743,56106684
741,56106686
742,56106686
743,56106686
741,56106688
742,56106688
743,56106688
741,56106690
742,56106690
743,56106690
741,56106691
742,56106691
743,56106691
741,56106693
742,56106693
743,56106693
741,56106696
742,56106696
743,56106696
741,56106698
742,56106698
743,56106698
741,56106700
742,56106700
743,56106700
741,56106701
742,56106701
743,56106701
741,56106703
742,56106703
743,56106703
741,56106705
742,56106705
743,56106705
741,56106707
742,56106707
743,56106707
741,56106709
742,56106709
743,56106709
741,56106711
742,56106711
743,56106711
741,56106713
742,56106713
743,56106713
741,56106715
742,56106715
743,56106715
741,56106717
742,56106717
743,56106717
741,56106719
742,56106719
743,56106719
741,56106721
742,56106721
743,56106721
741,56106723
742,56106723
743,56106723
741,56106725
742,56106725
743,56106725
741,56106826
742,56106826
743,56106826
741,56106827
742,56106827
743,56106827
741,56106828
742,56106828
743,56106828
741,56106829
742,56106829
743,56106829
741,56106830
742,56106830
743,56106830
741,56108974
742,56108974
743,56108974
741,56108975
742,56108975
743,56108975
741,56108978
742,56108978
743,56108978
741,56108980
742,56108980
743,56108980
741,56108981
742,56108981
743,56108981
741,56108982
742,56108982
743,56108982
741,56108985
742,56108985
743,56108985
741,56108987
742,56108987
743,56108987
741,56108992
742,56108992
743,56108992
741,56109003
742,56109003
743,56109003
741,55946917
742,55946917
743,55946917
741,55946926
742,55946926
743,55946926
741,55946927
742,55946927
743,55946927
741,55946928
742,55946928
743,55946928
741,55946929
742,55946929
743,55946929
741,55946930
742,55946930
743,55946930
741,55946931
742,55946931
743,55946931
741,55946932
742,55946932
743,55946932
741,55946933
742,55946933
743,55946933
741,55946934
742,55946934
743,55946934
741,55946935
742,55946935
743,55946935
741,55946936
742,55946936
743,55946936
741,55946937
742,55946937
743,55946937
741,55946938
742,55946938
743,55946938
741,55946943
742,55946943
743,55946943
741,55946951
742,55946951
743,55946951
741,55946955
742,55946955
743,55946955
741,55946957
742,55946957
743,55946957
741,55946958
742,55946958
743,55946958
741,55946965
742,55946965
743,55946965
741,55946970
742,55946970
743,55946970
741,55946974
742,55946974
743,55946974
741,55946976
742,55946976
743,55946976
741,55946983
742,55946983
743,55946983
741,55946988
742,55946988
743,55946988
741,55946993
742,55946993
743,55946993
741,55946997
742,55946997
743,55946997
741,55947067
742,55947067
743,55947067
741,55947070
742,55947070
743,55947070
741,55947071
742,55947071
743,55947071
741,55947072
742,55947072
743,55947072
741,55947853
742,55947853
743,55947853
741,55947918
742,55947918
743,55947918
741,55947923
742,55947923
743,55947923
741,55947946
742,55947946
743,55947946
741,55947975
742,55947975
743,55947975
741,55947978
742,55947978
743,55947978
741,55948002
742,55948002
743,55948002
741,55948032
742,55948032
743,55948032
741,55948086
742,55948086
743,55948086
741,55948092
742,55948092
743,55948092
741,56109014
742,56109014
743,56109014
741,56109017
742,56109017
743,56109017
741,56109020
742,56109020
743,56109020
741,56109021
742,56109021
743,56109021
741,56109023
742,56109023
743,56109023
741,56109025
742,56109025
743,56109025
741,56109026
742,56109026
743,56109026
741,56109027
742,56109027
743,56109027
741,56109032
742,56109032
743,56109032
741,56109036
742,56109036
743,56109036
741,56109049
742,56109049
743,56109049
741,56040697
742,56040697
743,56040697
741,56040699
742,56040699
743,56040699
741,56040701
742,56040701
743,56040701
741,56040703
742,56040703
743,56040703
741,56040705
742,56040705
743,56040705
741,56040707
742,56040707
743,56040707
741,56040709
742,56040709
743,56040709
741,56040711
742,56040711
743,56040711
741,56040713
742,56040713
743,56040713
741,56040715
742,56040715
743,56040715
741,56040717
742,56040717
743,56040717
741,56040719
742,56040719
743,56040719
741,56040721
742,56040721
743,56040721
741,56040723
742,56040723
743,56040723
741,56040725
742,56040725
743,56040725
741,56040727
742,56040727
743,56040727
741,56040729
742,56040729
743,56040729
741,56040731
742,56040731
743,56040731
741,56040733
742,56040733
743,56040733
741,56040735
742,56040735
743,56040735
741,56040737
742,56040737
743,56040737
741,56040739
742,56040739
743,56040739
741,56040741
742,56040741
743,56040741
741,56040743
742,56040743
743,56040743
741,56040745
742,56040745
743,56040745
741,56040747
742,56040747
743,56040747
741,56040749
742,56040749
743,56040749
741,56040750
742,56040750
743,56040750
741,56040753
742,56040753
743,56040753
741,56040755
742,56040755
743,56040755
741,56040757
742,56040757
743,56040757
741,56040759
742,56040759
743,56040759
741,56040760
742,56040760
743,56040760
741,56041015
742,56041015
743,56041015
741,56041017
742,56041017
743,56041017
741,56041021
742,56041021
743,56041021
741,56041022
742,56041022
743,56041022
741,56041023
742,56041023
743,56041023
741,56041024
742,56041024
743,56041024
741,56041025
742,56041025
743,56041025
741,56041038
742,56041038
743,56041038
741,56041267
742,56041267
743,56041267
741,56041268
742,56041268
743,56041268
741,56041270
742,56041270
743,56041270
741,56041275
742,56041275
743,56041275
741,56041277
742,56041277
743,56041277
741,56041357
742,56041357
743,56041357
741,56041602
742,56041602
743,56041602
741,56108928
742,56108928
743,56108928
741,56108929
742,56108929
743,56108929
741,56108930
742,56108930
743,56108930
741,56108933
742,56108933
743,56108933
741,56108936
742,56108936
743,56108936
741,56108938
742,56108938
743,56108938
741,56108940
742,56108940
743,56108940
741,56108941
742,56108941
743,56108941
741,56108942
742,56108942
743,56108942
741,56108943
742,56108943
743,56108943
741,56108950
742,56108950
743,56108950
741,57479385
742,57479385
743,57479385
741,57479386
742,57479386
743,57479386
741,57479389
742,57479389
743,57479389
741,57479391
742,57479391
743,57479391
741,57479393
742,57479393
743,57479393
741,57479395
742,57479395
743,57479395
741,57479396
742,57479396
743,57479396
741,57479398
742,57479398
743,57479398
741,57479401
742,57479401
743,57479401
741,57479403
742,57479403
743,57479403
741,57479405
742,57479405
743,57479405
741,57479406
742,57479406
743,57479406
741,57479408
742,57479408
743,57479408
741,57479410
742,57479410
743,57479410
741,57479412
742,57479412
743,57479412
741,57479414
742,57479414
743,57479414
741,57479416
742,57479416
743,57479416
741,57479418
742,57479418
743,57479418
741,57479420
742,57479420
743,57479420
741,57479422
742,57479422
743,57479422
741,57479424
742,57479424
743,57479424
741,57479426
742,57479426
743,57479426
741,57479428
742,57479428
743,57479428
741,57479430
742,57479430
743,57479430
741,57479905
742,57479905
743,57479905
741,57479906
742,57479906
743,57479906
741,57479907
742,57479907
743,57479907
741,57480001
742,57480001
743,57480001
741,57480002
742,57480002
743,57480002
741,57480003
742,57480003
743,57480003
741,57480004
742,57480004
743,57480004
741,57480051
742,57480051
743,57480051
741,57480052
742,57480052
743,57480052
741,57480053
742,57480053
743,57480053
741,57480298
742,57480298
743,57480298
741,57480303
742,57480303
743,57480303
741,57518495
742,57518495
743,57518495
741,57518497
742,57518497
743,57518497
741,57518508
742,57518508
743,57518508
741,57518509
742,57518509
743,57518509
741,57518523
742,57518523
743,57518523
741,57518525
742,57518525
743,57518525
741,57518526
742,57518526
743,57518526
741,57518527
742,57518527
743,57518527
741,57518571
742,57518571
743,57518571
741,57480620
742,57480620
743,57480620
741,57480629
742,57480629
743,57480629
741,57480630
742,57480630
743,57480630
741,57480631
742,57480631
743,57480631
741,57480632
742,57480632
743,57480632
741,57480633
742,57480633
743,57480633
741,57480634
742,57480634
743,57480634
741,57480635
742,57480635
743,57480635
741,57480636
742,57480636
